pressure,bTemp,humidity,hTemp,aveTemp,lightLvl,milliseconds
98314.88,29.04,17,25,27.02,1023,897
98314.88,29.04,17,25,27.02,1023,970
98314.88,29.04,17,25,27.02,1023,1043
98319.13,28.98,17,25,26.99,1023,1117
98319.13,28.98,17,25,26.99,1023,1189
98319.13,28.98,17,25,26.99,1023,1263
98319.13,28.98,17,25,26.99,1023,1336
98319.13,28.98,17,25,26.99,1023,1410
98319.13,28.98,17,25,26.99,1023,1487
98319.13,28.98,17,25,26.99,1023,1561
98319.13,28.98,17,25,26.99,1023,1635
98319.13,28.98,17,25,26.99,1023,1708
98319.13,28.98,17,25,26.99,1023,1780
98319.13,28.98,17,25,26.99,1023,1854
98319.13,28.98,17,25,26.99,1023,1927
98319.13,28.98,17,25,26.99,1023,2000
98315.99,28.98,17,25,26.99,1023,2073
98315.99,28.98,17,25,26.99,1023,2147
98315.99,28.98,17,25,26.99,1023,2225
98315.99,28.98,17,25,26.99,1023,2298
98315.99,28.98,17,25,26.99,1023,2372
98315.99,28.98,17,25,26.99,1023,2445
98315.99,28.98,17,25,26.99,1023,2518
98315.99,28.98,17,25,26.99,1023,2591
98315.99,28.98,16,25,26.99,1023,2935
98316.41,28.98,16,25,26.99,1023,3009
98316.41,28.98,16,25,26.99,1023,3082
98316.41,28.98,16,25,26.99,1023,3154
98316.41,28.98,16,25,26.99,1023,3232
98316.41,28.98,16,25,26.99,1023,3306
98316.41,28.98,16,25,26.99,1023,3380
98316.41,28.98,16,25,26.99,1023,3452
98316.41,28.98,16,25,26.99,1023,3526
98316.41,28.98,16,25,26.99,1023,3599
98316.41,28.98,16,25,26.99,1023,3672
98316.41,28.98,16,25,26.99,1023,3744
98316.41,28.98,16,25,26.99,1023,3818
98316.41,28.98,16,25,26.99,1023,3891
98313.87,28.98,16,25,26.99,1023,3969
98313.87,28.98,16,25,26.99,1023,4042
98313.87,28.98,16,25,26.99,1023,4115
98313.87,28.98,16,25,26.99,1023,4189
98313.87,28.98,16,25,26.99,1023,4261
98313.87,28.98,16,25,26.99,1023,4334
98313.87,28.98,16,25,26.99,1023,4408
98313.87,28.98,16,25,26.99,1023,4481
98313.87,28.98,16,25,26.99,1023,4553
98313.87,28.98,16,25,26.99,1023,4627
98313.87,28.98,16,25,26.99,1023,4976
98315.63,28.98,16,25,26.99,1023,5050
98315.63,28.98,16,25,26.99,1023,5124
98315.63,28.98,16,25,26.99,1023,5196
98315.63,28.98,16,25,26.99,1023,5270
98315.63,28.98,16,25,26.99,1023,5343
98315.63,28.98,16,25,26.99,1023,5416
98315.63,28.98,16,25,26.99,1023,5489
98315.63,28.98,16,25,26.99,1023,5563
98315.63,28.98,16,25,26.99,1023,5636
98315.63,28.98,16,25,26.99,1023,5708
98317.19,28.99,16,25,26.99,1023,5787
98317.19,28.99,16,25,26.99,1023,5861
98317.19,28.99,16,25,26.99,1023,5934
98317.19,28.99,16,25,26.99,1023,6006
98317.19,28.99,16,25,26.99,1023,6079
98317.19,28.99,16,25,26.99,1023,6153
98317.19,28.99,16,25,26.99,1023,6225
98317.19,28.99,16,25,26.99,1023,6298
98317.19,28.99,16,25,26.99,1023,6371
98317.19,28.99,16,25,26.99,1023,6445
98317.19,28.99,16,25,26.99,1023,6523
98317.19,28.99,16,25,26.99,1023,6596
98317.19,28.99,16,25,26.99,1023,6669
98321.27,28.99,16,25,26.99,1023,7013
98321.27,28.99,16,25,26.99,1023,7086
98321.27,28.99,16,25,26.99,1023,7158
98321.27,28.99,16,25,26.99,1023,7232
98321.27,28.99,16,25,26.99,1023,7305
98321.27,28.99,16,25,26.99,1023,7377
98321.27,28.99,16,25,26.99,1023,7450
98321.27,28.99,16,25,26.99,1023,7529
98321.27,28.99,16,25,26.99,1023,7602
98317.19,28.99,16,25,26.99,1023,7675
98317.19,28.99,16,25,26.99,1023,7748
98317.19,28.99,16,25,26.99,1023,7821
98317.19,28.99,16,25,26.99,1023,7895
98317.19,28.99,16,25,26.99,1023,7967
98317.19,28.99,16,25,26.99,1023,8040
98317.19,28.99,16,25,26.99,1023,8113
98317.19,28.99,16,25,26.99,1023,8186
98317.19,28.99,16,25,26.99,1023,8283
98317.19,28.99,16,25,26.99,1023,8356
98317.19,28.99,16,25,26.99,1023,8430
98317.19,28.99,16,25,26.99,1023,8503
98317.19,28.99,16,25,26.99,1023,8577
98313.52,28.99,16,25,26.99,1023,8649
98313.52,28.99,16,25,26.99,1023,8722
98313.52,28.99,16,25,26.99,1023,9066
98313.52,28.99,16,25,26.99,1023,9140
98313.52,28.99,16,25,26.99,1023,9212
